Worker listening to C++ Engine...
Flushed 1000 trades to MySQL
Flushed 885 trades to MySQL
Flushed 1000 trades to MySQL
Flushed 65 trades to MySQL
Flushed 1000 trades to MySQL
Flushed 1000 trades to MySQL
Flushed 1000 trades to MySQL
Flushed 259 trades to MySQL
Flushed 1000 trades to MySQL
Flushed 1000 trades to MySQL
Flushed 1000 trades to MySQL
Flushed 1000 trades to MySQL
Flushed 446 trades to MySQL
Flushed 1 trades to MySQL
Flushed 1 trades to MySQL
Flushed 1 trades to MySQL
Flushed 1 trades to MySQL
Flushed 6 trades to MySQL
Flushed 1 trades to MySQL
Flushed 2 trades to MySQL
Flushed 1 trades to MySQL
Flushed 4 trades to MySQL
Flushed 7 trades to MySQL
Flushed 2 trades to MySQL
Flushed 2 trades to MySQL
Flushed 2 trades to MySQL
Flushed 2 trades to MySQL
